Properties,Bend,Inclination,Major Groove Depth,Major Groove Distance,Major Groove Size,Major Groove Width,Minor Groove Depth,Minor Groove Distance,Minor Groove Size,Minor Groove Width,Rise,Roll,Shift,Slide,Tilt,Tip,Twist,Persistance Length,Roll (DNAprotein complex)
Scaleunit,degree,degree,angstroem,angstroem,angstroem,angstroem,angstroem,angstroem,angstroem,angstroem,angstroem,Dimension,angstroem,angstroem,degree,degree,degree,nanometer,degree
Average value,3.0731034482758623,1.366896551724138,9.997241379310344,3.721379310344828,4.689655172413793,13.969655172413793,9.94344827586207,3.1820689655172414,3.7020689655172414,5.802758620689655,3.6813793103448273,4.137931034482759,0.06620689655172414,0.2510344827586207,0.1517241379310345,1.5862068965517242,40.13103448275862,48.96551724137931,2.8689655172413793
Average value,5.133333333333332,1.9066666666666665,15.743999999999998,5.714666666666665,7.186666666666666,21.348,15.603999999999996,5.6,5.277333333333332,9.190666666666667,5.769333333333333,10.119999999999997,0.128,0.4413333333333333,0.25333333333333324,3.0946666666666673,65.39066666666669,54.666666666666664,1.0666666666666667
